budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,922,0.2962147944785949,0.03336037501091266,3893,False,False
429,923,0.6170149361365839,0.06948960700319846,3552,False,False
429,925,0.2376307000694429,0.026762502806034483,3944,False,False
429,927,3.1224746180027703,0.3516600999014449,456,True,False
429,928,3.0658370998372644,0.3452814554822338,483,True,False
429,929,0.5866475189855694,0.0660695603237141,3583,False,False
429,930,0.9876305352092898,0.11122916762076566,2991,False,False
429,931,2.2234288680263754,0.250407549622944,1128,False,False
429,932,2.1292312393974355,0.23979880125933992,1247,False,False
429,933,2.5281451109327318,0.28472537683736754,840,True,False
429,935,2.987303014832551,0.3364367705585527,523,True,False
429,936,1.4355382121711309,0.1616735355329616,2204,False,False
429,938,2.5527389729590433,0.2874951927799122,821,True,False
429,939,3.1071157834753045,0.34993035348392143,465,True,False
429,940,4.226960802075545,0.4760498129807565,131,True,False
429,941,4.398849578632396,0.4954083128024725,110,True,False
429,942,0.839034827127524,0.09449398545221253,3246,False,False
429,944,0.899644658472924,0.10132000069763547,3137,False,False
429,945,1.107022450246728,0.12467535306849414,2793,False,False
429,947,2.737761188849617,0.3083328100175131,679,True,False
429,948,2.6824971538300852,0.3021088503529967,720,True,False
429,949,1.5201605249103074,0.1712038903291791,2084,False,False
429,950,0.9760597306036748,0.10992603763530774,3012,False,False
429,951,1.1996133974911238,0.13510315336836026,2628,False,False
429,952,3.2577760713916315,0.3668980532674106,400,True,False
429,953,2.349871676817776,0.26464782255103725,994,True,False
429,954,2.493606661093336,0.2808355790945978,861,True,False
429,955,2.3845922000505504,0.2685581258080347,962,True,False
429,956,2.4427660071920703,0.27510979053993867,907,True,False
429,957,0.23814902316907258,0.02682087751689557,3943,False,False
429,958,1.1213373873328234,0.12628753341313345,2763,False,False
429,959,3.4448168472490273,0.38796300525915073,314,True,False
429,962,1.8836896405148578,0.21214535527288764,1552,False,False
429,964,2.482472067003512,0.27958157611650664,872,True,False
429,965,0.789713524062392,0.08893930959891522,3321,False,False
429,966,0.3423779073632032,0.03855936839749353,3842,False,False
429,968,1.2989724285721902,0.14629319046093642,2432,False,False
429,969,3.4266973279000115,0.3859223443206427,322,True,False
429,970,1.9647238056194996,0.22127160482887465,1455,False,False
429,971,2.8768791350747014,0.3240005853728462,580,True,False
429,972,3.742802866239737,0.4215228595501469,234,True,False
429,973,0.35680962086647444,0.04018470036434089,3833,False,False
429,974,2.0554698576550985,0.2314916288894424,1336,False,False
429,975,4.213064306111435,0.47448475841447,136,True,False
429,976,4.266526358468959,0.48050577474702505,127,True,False
429,977,2.3279163261904134,0.2621751616844045,1012,False,False
429,978,1.973076783216435,0.22221233591417383,1444,False,False
429,979,4.14138803758746,0.4664124161752796,147,True,False
429,980,3.4858991483047412,0.39258978621363433,304,True,False
429,981,0.40588327359926263,0.04571148528135628,3785,False,False
429,983,1.7674548582460692,0.19905473320377698,1693,False,False
429,985,1.586105402197611,0.17863075042313717,1973,False,False
429,986,0.6456558546719178,0.07271521153344343,3528,False,False
429,987,1.532293460138953,0.1725703287271099,2075,False,False
429,988,2.3828076974400103,0.2683571511187037,963,True,False
